difficulty_level,problem,alt1,alt2,alt3,answer,original_word,batch,num_workers,num_correct,mean_RT
3,E9?RNAL,A,E,I,alt2,ETERNAL,2,49,40,4.1457
4,C9?AR9NG,A,E,I,alt2,CLEARING,2,49,36,4.6796
5,S9?AL9HY,A,E,I,alt2,STEALTHY,2,49,31,4.654
7,A9?YA9CE,A,E,I,alt2,ABEYANCE,2,49,7,5.987
7,E9?CR9TION,A,E,I,alt2,EXECRATION,2,49,20,5.1866
1,P9?VACY,A,E,I,alt3,PRIVACY,2,49,45,3.6378
1,OH?O,A,E,I,alt3,OHIO,2,49,47,3.5215
4,J9?NING,A,E,I,alt3,JOINING,2,49,34,4.2482
3,S9?ELD,A,E,I,alt3,SHIELD,2,49,43,4.1481
1,TW?G,A,E,I,alt3,TWIG,2,49,48,3.4208
2,S9?ZURE,A,E,I,alt3,SEIZURE,2,49,41,3.6792
4,F9?GH9EN9NG,A,E,I,alt3,FRIGHTENING,2,49,35,4.0173
3,I9?TA9IVE,A,E,I,alt3,IMITATIVE,2,49,40,4.3537
5,F9?VO9ITY,A,E,I,alt3,FRIVOLITY,2,49,29,4.5085
6,BA?RN,A,E,I,alt3,BAIRN,2,49,28,5.1724
1,J9?UARY,N,R,T,alt1,JANUARY,2,49,49,3.6698
1,A9?OU9CE9ENTS,N,R,T,alt1,ANNOUNCEMENTS,2,49,48,3.7096
6,F9?GE9ING,N,R,T,alt1,FINGERING,2,49,23,4.7978
2,R9?AI9SA9CE,N,R,T,alt1,RENAISSANCE,2,49,45,3.8358
1,H9?EY9OON,N,R,T,alt1,HONEYMOON,2,49,47,3.6912
5,H9?CE9OR9ARD,N,R,T,alt1,HENCEFORWARD,2,49,31,4.7054
7,I9?IAN,N,R,T,alt1,IONIAN,2,49,15,5.3023
1,W9?DM9LL,N,R,T,alt1,WINDMILL,2,49,48,3.7065
2,M9?IF9STO,N,R,T,alt1,MANIFESTO,2,49,45,3.8381
5,N9?NERY,N,R,T,alt1,NUNNERY,2,49,33,4.6667
7,D9?EC9LY,N,R,T,alt2,DIRECTLY,2,49,23,5.3182
1,N9?TH9RN,N,R,T,alt2,NORTHERN,2,49,47,3.7916
2,C9?IB9EAN,N,R,T,alt2,CARIBBEAN,2,49,44,3.9298
3,T9?ROR,N,R,T,alt2,TERROR,2,49,42,3.9224
2,V9?TU9LLY,N,R,T,alt2,VIRTUALLY,2,49,45,3.8176
6,C9?ROLL,N,R,T,alt2,CARROLL,2,49,25,5.0782
3,N9?RA9IVE,N,R,T,alt2,NARRATIVE,2,49,38,3.9163
1,G9?BAGE,N,R,T,alt2,GARBAGE,2,49,49,3.4442
2,C9?DIAC,N,R,T,alt2,CARDIAC,2,49,45,3.9326
5,C9?INTH,N,R,T,alt2,CORINTH,2,49,34,4.5015
2,N9?IFY,N,R,T,alt3,NOTIFY,2,49,44,3.8836
5,D9?ER9IN9TION,N,R,T,alt3,DETERMINATION,2,49,30,4.7225
3,F9?URES,N,R,T,alt3,FUTURES,2,49,42,4.5863
2,U9?IDY,N,R,T,alt3,UNTIDY,2,49,44,4.1184
7,F9?CH9NG,N,R,T,alt3,FETCHING,2,49,21,5.1288
4,C9?ER9IL9AR,N,R,T,alt3,CATERPILLAR,2,49,33,4.0304
4,M9?AM9RP9OSIS,N,R,T,alt3,METAMORPHOSIS,2,49,35,4.2502
4,D9?RACT,N,R,T,alt3,DETRACT,2,49,40,4.9008
5,M9?IG9TION,N,R,T,alt3,MITIGATION,2,49,32,4.9263
1,TO?EM,N,R,T,alt3,TOTEM,2,49,48,3.5371
3,S9?TI9TICS,A,E,I,alt1,STATISTICS,3,50,43,4.3661
1,C9?SSIC,A,E,I,alt1,CLASSIC,3,50,49,3.6014
2,S9?SONS,A,E,I,alt1,SEASONS,3,50,44,3.8639
7,E9?MI9ED,A,E,I,alt1,EXAMINED,3,50,21,4.9082
5,S9?TIAL,A,E,I,alt1,SPATIAL,3,50,32,4.4838
2,Q9?NT9TA9IVE,A,E,I,alt1,QUANTITATIVE,3,50,42,3.6826
2,B9?CK9ERRY,A,E,I,alt1,BLACKBERRY,3,50,45,3.6535
2,T9?NK9GI9ING,A,E,I,alt1,THANKSGIVING,3,50,45,3.5773
4,L9?RN9RS,A,E,I,alt1,LEARNERS,3,50,38,4.0223
6,P9?NN9RS,A,E,I,alt1,PLANNERS,3,50,26,4.8803
1,T9?SDAY,A,E,I,alt2,TUESDAY,3,50,49,3.5315
1,E9?RG9NCY,A,E,I,alt2,EMERGENCY,3,50,50,3.5806
1,Q9?BEC,A,E,I,alt2,QUEBEC,3,50,49,3.5332
1,BE?F,A,E,I,alt2,BEEF,3,50,49,3.3927
6,S9?ADY,A,E,I,alt2,STEADY,3,50,25,5.0352
5,C9?CK9IST,A,E,I,alt2,CHECKLIST,3,50,32,4.1569
5,U9?AR9HLY,A,E,I,alt2,UNEARTHLY,3,50,32,4.3266
3,E9?ME9TAL,A,E,I,alt2,ELEMENTAL,3,50,40,4.0458
6,C9?AN9ING,A,E,I,alt2,CLEANSING,3,50,27,4.4878
1,U9?XP9AI9ED,A,E,I,alt2,UNEXPLAINED,3,50,48,3.7909
4,O9?NI9NS,A,E,I,alt3,OPINIONS,3,50,35,4.1634
1,E9?ZA9ETH,A,E,I,alt3,ELIZABETH,3,50,48,3.535
1,QU?Z,A,E,I,alt3,QUIZ,3,50,49,3.4105
1,B9?LL9ANT,A,E,I,alt3,BRILLIANT,3,50,48,3.5853
5,B9?TA9NICA,A,E,I,alt3,BRITANNICA,3,50,31,4.3532
1,SA?L,A,E,I,alt3,SAIL,3,50,47,3.7792
7,E9?GR9NT,A,E,I,alt3,EMIGRANT,3,50,13,4.7464
7,G9?MM9RED,A,E,I,alt3,GLIMMERED,3,50,17,4.4459
1,JU?CY,A,E,I,alt3,JUICY,3,50,49,3.4539
5,P9?VA9EER,A,E,I,alt3,PRIVATEER,3,50,33,4.2667
1,M9?UF9CT9RER,N,R,T,alt1,MANUFACTURER,3,50,46,3.7138
1,TI?Y,N,R,T,alt1,TINY,3,50,48,3.6601
1,S9?GL9SSES,N,R,T,alt1,SUNGLASSES,3,50,49,3.7687
1,B9?GL9DESH,N,R,T,alt1,BANGLADESH,3,50,48,3.6118
6,C9?GU9AR,N,R,T,alt1,CINGULAR,3,50,24,5.0359
5,D9?OU9CE,N,R,T,alt1,DENOUNCE,3,50,34,4.5882
5,O9?AM9NT9TION,N,R,T,alt1,ORNAMENTATION,3,50,31,4.3874
7,C9?NI9AL,N,R,T,alt1,CANNIBAL,3,50,14,4.9505
3,T9?KARD,N,R,T,alt1,TANKARD,3,50,39,4.1619
7,P9?IARD,N,R,T,alt1,PONIARD,3,50,13,5.2619
3,B9?TH9AY,N,R,T,alt2,BIRTHDAY,3,50,38,3.8965
7,A9?IC9LT9RAL,N,R,T,alt2,AGRICULTURAL,3,50,17,4.6595
6,A9?EE9ENTS,N,R,T,alt2,AGREEMENTS,3,50,29,4.7705
5,C9?IS9IA9ITY,N,R,T,alt2,CHRISTIANITY,3,50,27,4.0886
5,F9?NI9HI9GS,N,R,T,alt2,FURNISHINGS,3,50,31,4.7315
1,H9?IZON,N,R,T,alt2,HORIZON,3,50,49,3.6697
4,V9?IED,N,R,T,alt2,VARIED,3,50,35,4.4134
6,S9?UCE,N,R,T,alt2,SPRUCE,3,50,28,5.2014
2,M9?CE9ARY,N,R,T,alt2,MERCENARY,3,50,47,3.9508
5,H9?MES,N,R,T,alt2,HERMES,3,50,35,5.3586
7,L9?EST,N,R,T,alt3,LATEST,3,50,19,5.4858
3,M9?HOD,N,R,T,alt3,METHOD,3,50,42,4.1106
7,O9?AI9ING,N,R,T,alt3,OBTAINING,3,50,18,5.0587
2,A9?HR9TIS,N,R,T,alt3,ARTHRITIS,3,50,44,3.8422
6,A9?ERED,N,R,T,alt3,ALTERED,3,50,28,4.5985
4,M9?AL9IC,N,R,T,alt3,METALLIC,3,50,38,4.2054
6,R9?IOS,N,R,T,alt3,RATIOS,3,50,28,4.9017
2,M9?RI9ONY,N,R,T,alt3,MATRIMONY,3,50,44,3.9696
3,GO?HS,N,R,T,alt3,GOTHS,3,50,43,4.2533
4,A9?ER9HO9GHT,N,R,T,alt3,AFTERTHOUGHT,3,50,35,4.2629
2,N9?RLY,A,E,I,alt1,NEARLY,4,49,42,3.8942
1,P9?RM9CY,A,E,I,alt1,PHARMACY,4,49,46,3.6806
3,D9?WING,A,E,I,alt1,DRAWING,4,49,43,4.3941
4,M9?SU9EM9NTS,A,E,I,alt1,MEASUREMENTS,4,49,36,4.0022
1,W9?LTH,A,E,I,alt1,WEALTH,4,49,45,3.704
1,R9?LIZE,A,E,I,alt1,REALIZE,4,49,47,3.4506
6,S9?RE9OL9ERS,A,E,I,alt1,SHAREHOLDERS,4,49,26,5.0683
1,M9?NI9GFUL,A,E,I,alt1,MEANINGFUL,4,49,45,3.7089
1,R9?LTOR,A,E,I,alt1,REALTOR,4,49,47,3.5155
1,U9?UT9OR9ZED,A,E,I,alt1,UNAUTHORIZED,4,49,46,3.6795
1,E9?RGY,A,E,I,alt2,ENERGY,4,49,48,3.7194
4,I9?NT9FY,A,E,I,alt2,IDENTIFY,4,49,37,4.473
3,E9?CT9IC9TY,A,E,I,alt2,ELECTRICITY,4,49,42,4.1096
3,S9?WART,A,E,I,alt2,STEWART,4,49,41,3.8905
3,T9?SA9RUS,A,E,I,alt2,THESAURUS,4,49,42,3.9431
7,S9?EC9ES,A,E,I,alt2,SPEECHES,4,49,19,4.814
5,S9?NA9IOS,A,E,I,alt2,SCENARIOS,4,49,33,4.6728
2,E9?VA9OR,A,E,I,alt2,ELEVATOR,4,49,43,3.5665
1,Q9?ST9ONER,A,E,I,alt2,QUESTIONER,4,49,49,3.5668
5,D9?ADS,A,E,I,alt2,DREADS,4,49,34,4.8686
5,F9?EN9LY,A,E,I,alt3,FRIENDLY,4,49,32,4.6359
7,E9?TORS,A,E,I,alt3,EDITORS,4,49,19,4.6852
1,GR?P,A,E,I,alt3,GRIP,4,49,48,3.6293
5,M9?NL9ND,A,E,I,alt3,MAINLAND,4,49,34,4.5342
6,A9?MO9ITY,A,E,I,alt3,ANIMOSITY,4,49,24,4.5599
3,T9?NTED,A,E,I,alt3,TAINTED,4,49,39,4.1594
3,C9?NC9DE,A,E,I,alt3,COINCIDE,4,49,40,3.8708
6,C9?LLS,A,E,I,alt3,CHILLS,4,49,22,4.8226
6,T9?NGE,A,E,I,alt3,TWINGE,4,49,26,5.4654
1,G9?ERAL,N,R,T,alt1,GENERAL,4,49,46,3.518
1,F9?DA9EN9AL,N,R,T,alt1,FUNDAMENTAL,4,49,47,3.5663
2,R9?KI9GS,N,R,T,alt1,RANKINGS,4,49,43,4.0538
1,W9?DSOR,N,R,T,alt1,WINDSOR,4,49,47,3.8418
7,F9?AN9ES,N,R,T,alt1,FINANCES,4,49,17,4.4889
2,R9?AWAY,N,R,T,alt1,RUNAWAY,4,49,45,3.7747
3,H9?DR9DTH,N,R,T,alt1,HUNDREDTH,4,49,40,3.981
6,GE?II,N,R,T,alt1,GENII,4,49,25,4.6808
4,K9?SW9MAN,N,R,T,alt1,KINSWOMAN,4,49,38,4.9054
1,FU?GI,N,R,T,alt1,FUNGI,4,49,45,3.5431
2,M9?TG9GE,N,R,T,alt2,MORTGAGE,4,49,41,3.6473
1,V9?GIN,N,R,T,alt2,VIRGIN,4,49,49,3.6756
2,V9?SUS,N,R,T,alt2,VERSUS,4,49,42,3.7641
1,JU?Y,N,R,T,alt2,JURY,4,49,46,3.5874
1,H9?AS9MENT,N,R,T,alt2,HARASSMENT,4,49,47,3.7733
1,VE?BS,N,R,T,alt2,VERBS,4,49,49,3.493
1,W9?KI9GS,N,R,T,alt2,WORKINGS,4,49,46,3.9289
6,B9?RI9ADE,N,R,T,alt2,BARRICADE,4,49,22,4.6726
4,N9?CI9SUS,N,R,T,alt2,NARCISSUS,4,49,38,4.3477
3,P9?ACY,N,R,T,alt2,PIRACY,4,49,42,4.518
7,E9?IM9TES,N,R,T,alt3,ESTIMATES,4,49,16,5.1417
2,S9?IS9AC9ION,N,R,T,alt3,SATISFACTION,4,49,44,4.0445
7,D9?CH9AN,N,R,T,alt3,DUTCHMAN,4,49,16,5.0178
1,L9?TUCE,N,R,T,alt3,LETTUCE,4,49,47,3.5406
4,U9?OW9RD,N,R,T,alt3,UNTOWARD,4,49,37,4.8383
5,A9?IF9CERS,N,R,T,alt3,ARTIFICERS,4,49,31,5.0645
7,P9?HO9OG9CAL,N,R,T,alt3,PATHOLOGICAL,4,49,18,5.241
6,D9?IF9LLY,N,R,T,alt3,DUTIFULLY,4,49,24,4.5181
7,P9?RE9AC9ION,N,R,T,alt3,PUTREFACTION,4,49,22,5.239
7,T9?EL9RY,N,R,T,alt3,TUTELARY,4,49,9,5.5643
4,A9?INST,A,E,I,alt1,AGAINST,5,50,35,4.294
3,H9?DL9NES,A,E,I,alt1,HEADLINES,5,50,39,3.7789
3,G9?TE9ALA,A,E,I,alt1,GUATEMALA,5,50,39,3.9807
4,L9?BI9IT9ES,A,E,I,alt1,LIABILITIES,5,50,36,4.0535
5,I9?GI9AT9ON,A,E,I,alt1,IMAGINATION,5,50,32,4.4131
1,Q9?LI9IC9TION,A,E,I,alt1,QUALIFICATION,5,50,47,3.5964
3,S9?RTAN,A,E,I,alt1,SPARTAN,5,50,40,3.9835
1,F9?GILE,A,E,I,alt1,FRAGILE,5,50,48,3.4344
1,R9?DWAY,A,E,I,alt1,ROADWAY,5,50,49,3.6888
4,QU?IL,A,E,I,alt1,QUAIL,5,50,32,3.7997
6,T9?RE9ORE,A,E,I,alt2,THEREFORE,5,50,28,4.6644
3,C9?CK9UT,A,E,I,alt2,CHECKOUT,5,50,39,3.9613
5,T9?ATED,A,E,I,alt2,TREATED,5,50,34,4.7483
4,E9?VATE,A,E,I,alt2,ELEVATE,5,50,35,3.8939
4,B9?VITY,A,E,I,alt2,BREVITY,5,50,37,3.94
3,S9?EPLE,A,E,I,alt2,STEEPLE,5,50,40,4.0836
6,Q9?RU9OUS,A,E,I,alt2,QUERULOUS,5,50,24,4.4941
3,I9?FF9CI9NT,A,E,I,alt2,INEFFICIENT,5,50,42,4.2764
6,C9?SH9RE,A,E,I,alt2,CHESHIRE,5,50,24,4.6284
7,U9?FU9LY,A,E,I,alt2,USEFULLY,5,50,18,5.0558
3,G9?DA9CE,A,E,I,alt3,GUIDANCE,5,50,39,3.8681
3,L9?SURE,A,E,I,alt3,LEISURE,5,50,40,3.5652
1,P9?NC9SS,A,E,I,alt3,PRINCESS,5,50,47,3.5021
5,M9?NT9IN9NG,A,E,I,alt3,MAINTAINING,5,50,30,4.7471
2,C9?MB9NG,A,E,I,alt3,CLIMBING,5,50,46,3.7473
5,W9?LST,A,E,I,alt3,WHILST,5,50,29,4.4691
1,T9?UMPH,A,E,I,alt3,TRIUMPH,5,50,48,3.5334
1,A9?ST9CRAT,A,E,I,alt3,ARISTOCRAT,5,50,48,3.5598
7,R9?LL9RY,A,E,I,alt3,RAILLERY,5,50,11,4.9748
1,SK?M,A,E,I,alt3,SKIM,5,50,49,3.3273
1,ZO?E,N,R,T,alt1,ZONE,5,50,47,3.6149
4,C9?DI9ATE,N,R,T,alt1,CANDIDATE,5,50,34,3.912
1,F9?CT9ON9LITY,N,R,T,alt1,FUNCTIONALITY,5,50,49,3.532
1,HI?DU,N,R,T,alt1,HINDU,5,50,49,3.6781
2,B9?CH9ARK,N,R,T,alt1,BENCHMARK,5,50,44,3.8795
3,S9?SI9IL9TIES,N,R,T,alt1,SENSIBILITIES,5,50,42,4.2551
6,I9?ER9OST,N,R,T,alt1,INNERMOST,5,50,24,4.504
1,LU?AR,N,R,T,alt1,LUNAR,5,50,49,3.3026
1,M9?UM9NTAL,N,R,T,alt1,MONUMENTAL,5,50,48,3.7186
3,M9?IF9ST9NG,N,R,T,alt1,MANIFESTING,5,50,41,4.1424
1,FA?M,N,R,T,alt2,FARM,5,50,50,3.5986
6,E9?LIER,N,R,T,alt2,EARLIER,5,50,29,4.9533
5,P9?TI9NS,N,R,T,alt2,PORTIONS,5,50,34,4.7438
1,H9?MONE,N,R,T,alt2,HORMONE,5,50,48,3.5507
1,D9?WIN,N,R,T,alt2,DARWIN,5,50,48,3.6331
2,C9?NELL,N,R,T,alt2,CORNELL,5,50,45,4.2573
6,A9?IV9LS,N,R,T,alt2,ARRIVALS,5,50,23,4.3582
5,E9?ICH,N,R,T,alt2,ENRICH,5,50,31,4.1218
1,T9?TO9SE,N,R,T,alt2,TORTOISE,5,50,49,3.5275
1,P9?GA9ORY,N,R,T,alt2,PURGATORY,5,50,47,3.7426
4,P9?HON,N,R,T,alt3,PYTHON,5,50,37,4.4062
4,T9?OR9ALS,N,R,T,alt3,TUTORIALS,5,50,38,4.2855
2,N9?UR9LLY,N,R,T,alt3,NATURALLY,5,50,44,4.0336
4,A9?HMA,N,R,T,alt3,ASTHMA,5,50,40,4.578
4,N9?UR9LS,N,R,T,alt3,NATURALS,5,50,39,4.2505
6,N9?RO9EN,N,R,T,alt3,NITROGEN,5,50,28,4.5793
7,E9?IM9TION,N,R,T,alt3,ESTIMATION,5,50,7,5.6041
5,A9?IV9STS,N,R,T,alt3,ACTIVISTS,5,50,33,4.6248
7,P9?IA9LE,N,R,T,alt3,PITIABLE,5,50,16,5.0567
1,M9?HE9HOOD,N,R,T,alt3,MOTHERHOOD,5,50,47,3.5798
3,G9?RA9TEE,A,E,I,alt1,GUARANTEE,6,50,43,3.9711
2,G9?RA9TEED,A,E,I,alt1,GUARANTEED,6,50,45,3.9061
1,AL?RM,A,E,I,alt1,ALARM,6,50,50,3.5542
1,A9?LY9TS,A,E,I,alt1,ANALYSTS,6,50,46,3.7294
1,OV?L,A,E,I,alt1,OVAL,6,50,48,3.3952
1,G9?CIER,A,E,I,alt1,GLACIER,6,50,48,3.7326
5,D9?FE9ING,A,E,I,alt1,DEAFENING,6,50,31,4.5733
3,O9?QUE,A,E,I,alt1,OPAQUE,6,50,41,3.7876
7,V9?NDS,A,E,I,alt1,VIANDS,6,50,8,4.9139
2,D9?WB9IDGE,A,E,I,alt1,DRAWBRIDGE,6,50,44,3.6166
2,TR?E,A,E,I,alt2,TREE,6,50,44,4.0914
5,B9?AST,A,E,I,alt2,BREAST,6,50,30,4.1149
3,D9?AMS,A,E,I,alt2,DREAMS,6,50,41,3.8809
2,I9?NT9FY9NG,A,E,I,alt2,IDENTIFYING,6,50,43,3.6771
3,D9?PLY,A,E,I,alt2,DEEPLY,6,50,39,3.8278
4,Y9?LDS,A,E,I,alt2,YIELDS,6,50,34,3.5382
6,A9?RT9RE,A,E,I,alt2,APERTURE,6,50,22,4.1991
4,E9?MP9ARY,A,E,I,alt2,EXEMPLARY,6,50,35,4.464
6,T9?OR9TI9ALLY,A,E,I,alt2,THEORETICALLY,6,50,25,5.1284
3,R9?FUL,A,E,I,alt2,RUEFUL,6,50,39,3.9452
1,VO?CE,A,E,I,alt3,VOICE,6,50,49,3.4175
1,S9?TZ9RL9ND,A,E,I,alt3,SWITZERLAND,6,50,48,3.5948
4,S9?EN9ISTS,A,E,I,alt3,SCIENTISTS,6,50,37,3.9275
2,H9?GHTS,A,E,I,alt3,HEIGHTS,6,50,44,3.4414
6,A9?MA9ED,A,E,I,alt3,ANIMATED,6,50,23,4.4122
4,B9?SB9NE,A,E,I,alt3,BRISBANE,6,50,36,4.1347
7,E9?RA9ES,A,E,I,alt3,EMIRATES,6,50,17,4.6199
1,G9?EV9NG,A,E,I,alt3,GRIEVING,6,50,47,3.8918
6,S9?NS9ER,A,E,I,alt3,SPINSTER,6,50,27,4.7549
3,T9?POD,A,E,I,alt3,TRIPOD,6,50,38,3.6543
3,L9?GE9IE,N,R,T,alt1,LINGERIE,6,50,43,3.9357
1,S9?SI9IVE,N,R,T,alt1,SENSITIVE,6,50,47,3.6365
1,M9?TG9MERY,N,R,T,alt1,MONTGOMERY,6,50,48,3.6958
3,Z9?ING,N,R,T,alt1,ZONING,6,50,43,4.0482
2,H9?DR9NCE,N,R,T,alt1,HINDRANCE,6,50,46,3.9054
5,S9?AG9GUE,N,R,T,alt1,SYNAGOGUE,6,50,33,4.4743
1,T9?TA9IVE,N,R,T,alt1,TENTATIVE,6,50,48,3.7676
1,V9?GE9UL,N,R,T,alt1,VENGEFUL,6,50,48,3.4747
6,P9?TA9EUCH,N,R,T,alt1,PENTATEUCH,6,50,25,4.118
7,G9?YM9DE,N,R,T,alt1,GANYMEDE,6,50,22,4.8155
1,H9?DW9RE,N,R,T,alt2,HARDWARE,6,50,48,3.5675
2,C9?PO9AT9ON,N,R,T,alt2,CORPORATION,6,50,45,3.9229
1,M9?ROR,N,R,T,alt2,MIRROR,6,50,49,3.5694
2,B9?MI9GHAM,N,R,T,alt2,BIRMINGHAM,6,50,46,3.9024
4,C9?EM9NY,N,R,T,alt2,CEREMONY,6,50,37,4.3576
4,C9?CU9AR,N,R,T,alt2,CIRCULAR,6,50,35,4.387
1,H9?BOUR,N,R,T,alt2,HARBOUR,6,50,48,3.4639
4,A9?ANGE,N,R,T,alt2,ARRANGE,6,50,38,4.0757
5,V9?YING,N,R,T,alt2,VARYING,6,50,34,4.6559
4,P9?TR9YED,N,R,T,alt2,PORTRAYED,6,50,39,4.271
1,VO?E,N,R,T,alt3,VOTE,6,50,48,3.6449
7,A9?RA9TI9NS,N,R,T,alt3,ATTRACTIONS,6,50,19,4.7
6,A9?RI9UTE,N,R,T,alt3,ATTRIBUTE,6,50,24,4.787
4,L9?ER9CY,N,R,T,alt3,LITERACY,6,50,36,3.9589
1,A9?IF9CIAL,N,R,T,alt3,ARTIFICIAL,6,50,46,3.6317
2,V9?ER9NARY,N,R,T,alt3,VETERINARY,6,50,44,3.7182
3,P9?ER9BURG,N,R,T,alt3,PETERSBURG,6,50,40,4.1445
7,C9?AL9GS,N,R,T,alt3,CATALOGS,6,50,18,4.7222
