Age,Sex,Edu_level,Highest_math,Curr_math,Ethnicity,Race,Income,MathAnx_score,ReadAnx_score,TraitAnx_score,SocDsr_score,TestAnx_score,points,easy_math_cnt,easy_word_cnt,easy_acc_math,easy_acc_word,easy_RT_math,easy_RT_word,hard_math_cnt,hard_word_cnt,hard_level_math,hard_level_word,hard_acc_math,hard_acc_word,hard_RT_math,hard_RT_word,hcp_h2e2_math,hcp_h3e2_math,hcp_h4e2_math,hcp_h5e2_math,hcp_h6e2_math,hcp_h456e2_math,hcp_h2e2_word,hcp_h3e2_word,hcp_h4e2_word,hcp_h5e2_word,hcp_h6e2_word,hcp_h456e2_word
24,2,4,6,2,2,5,5,1.2,2.36,30,11,24,313,60,60,1,1,2045,1938,10,10,4.7,5.4,0.8,0.7,3976,2520,0,0,0,0,0,0,0,0,0,0,0,0
34,1,4,2,2,2,5,3,2.56,2.72,69,11,59,331,60,39,0.9833,1,2075,1871,10,31,5,4.5806,0.8,0.6452,4291,4289,0,0,0,0,0,0,0.1,0.2,0.6,0.6,0.6,0.6
31,1,4,4,2,2,5,1,3.12,1.28,37,19,34,302,59,26,0.8644,1,2872,2095,11,44,2.0909,2.8409,0.1818,0.6818,4677,2765,0.1,0,0,0,0,0,0.1,0.8,0.7,0.9,0.9,0.8333
33,1,2,1,2,2,5,4,3.24,1.56,27,11,37,225,59,16,0.7288,0.625,1989,1862,11,54,2.0909,2.5,0.2727,0.5,1901,2058,0.1,0,0,0,0,0,0.8,1,1,0.9,0.7,0.8667
24,2,3,6,2,2,3,6,1.8,1.52,33,8,29,281,59,49,0.8475,0.9184,2275,1991,11,21,2.1818,2.9524,0.4545,0.7143,2562,2460,0.1,0,0,0,0,0,0.1,0.2,0.3,0.3,0.2,0.2667
24,1,2,2,2,2,5,5,2.6,1.4,70,18,49,307,59,25,0.7458,0.96,1879,1918,11,45,2.1818,5.2444,0.3636,0.7333,1973,2581,0.1,0,0,0,0,0,0.2,0.7,0.8,0.8,1,0.8667
26,1,4,7,1,2,5,3,3,2.56,43,15,26,266,59,57,0.8644,0.8596,2300,1890,11,13,2.2727,3.8462,0.6364,0.6154,2675,2865,0.1,0,0,0,0,0,0.2,0,0,0,0.1,0.0333
34,1,4,7,2,2,5,6,2.24,1.88,40,20,49,296,59,55,0.9322,0.9091,2008,1964,11,15,2.5455,5.1333,0.6364,0.6667,2701,2519,0,0,0.1,0,0,0.0333,0,0,0.1,0.2,0.2,0.1667
34,1,4,6,2,2,5,6,2.84,2.04,69,7,55,316,59,52,0.9831,0.9615,2028,1893,11,18,2.5455,4.7222,0.7273,0.7222,2905,3279,0.1,0,0,0,0,0,0,0.2,0.1,0.3,0.2,0.2
33,1,3,4,2,2,5,3,2.28,1.52,32,15,23,302,59,51,0.9153,0.9608,2631,2122,11,19,2.4545,3.7895,0.5455,0.7368,4638,3398,0.1,0,0,0,0,0,0.1,0.1,0.2,0.3,0.2,0.2333
34,1,5,4,2,2,5,3,2.44,2.16,33,10,29,308,59,35,0.9322,1,2465,2234,11,35,2.5455,3.4857,0.5455,0.6571,5227,3227,0,0.1,0,0,0,0,0.1,0.7,0.8,0.4,0.5,0.5667
29,2,5,5,2,3,3,2,3.84,1.16,37,18,39,338,59,16,0.9661,0.9375,2354,2275,11,54,2.5455,4.4259,0.5455,0.7037,4554,2935,0,0,0,0.1,0,0.0333,0.6,0.8,1,1,1,1
29,1,3,2,2,2,5,4,3.24,1.76,68,13,62,328,59,16,0.8305,0.9375,2148,2162,11,54,2.5455,4.7963,0.5455,0.7037,2278,3372,0.1,0,0,0,0,0,0.5,0.9,1,1,1,1
30,2,4,4,2,1,6,3,3.36,3.08,49,14,72,327,59,39,0.9831,0.9487,1893,2581,11,31,2.6364,4.0645,0.6364,0.6774,3542,4362,0.1,0,0,0,0,0,0.1,0,0.6,0.5,0.9,0.6667
37,2,3,6,2,1,5,3,2.72,2.08,25,19,46,292,59,50,0.9492,0.88,2246,2332,11,20,2.7273,2.55,0.7273,0.55,4877,3344,0.1,0,0,0,0,0,0.1,0,0.4,0.2,0.3,0.3
30,1,2,3,2,2,5,4,2.96,2.56,34,30,33,282,59,40,0.661,0.975,3116,2226,11,30,2.7273,2.5,0.4545,0.7333,2952,2474,0,0.1,0,0,0,0,0.1,0.5,0.4,0.6,0.4,0.4667
34,1,3,2,2,2,5,2,3.48,2.68,38,22,47,298,59,33,0.9322,1,2136,2119,11,37,2.7273,3.027,0.4545,0.6486,3273,2942,0.1,0,0,0,0,0,0.5,0.5,0.6,0.6,0.5,0.5667
28,2,3,4,2,2,5,2,1.56,1.48,29,7,22,314,59,30,0.9322,1,2419,2016,11,40,2.7273,3.775,0.5455,0.65,4397,3460,0.1,0,0,0,0,0,0.1,0.5,1,0.6,0.8,0.8
25,1,4,4,2,1,5,2,3.76,2.08,65,11,48,324,59,27,0.9322,0.8889,2054,1859,11,43,3.4545,3.6512,0.5455,0.6977,3487,2203,0.1,0,0,0,0,0,0.3,0.8,0.9,0.5,0.8,0.7333
28,1,5,7,2,2,5,4,2.4,3.4,67,11,47,306,59,60,0.9831,0.9833,2072,1802,11,10,3.6364,3.3,0.7273,0.7,4510,2604,0,0.1,0,0,0,0,0,0,0,0,0,0
28,1,3,6,2,2,5,3,1,1,49,13,25,311,59,60,0.9661,1,2293,1905,11,10,4.5455,5.3,0.8182,0.7,5154,2534,0.1,0,0,0,0,0,0,0,0,0,0,0
30,2,3,5,2,2,5,7,4.04,1.24,20,32,28,347,58,36,0.9828,0.9722,2397,2305,12,34,2.1667,4.2353,0.5,0.7647,3112,3616,0.1,0,0,0.1,0,0.0333,0,0.2,0.5,0.7,1,0.7333
27,1,3,2,2,2,5,2,2.28,1.28,71,21,57,315,58,12,0.8448,1,2615,2141,12,58,2.1667,4.7931,0.3333,0.7069,3372,3436,0.1,0,0,0,0.1,0.0333,0.9,1,0.9,1,1,0.9667
29,2,3,6,2,2,5,2,2.08,1.8,41,22,44,285,58,60,0.9138,1,2243,1900,12,10,2.3333,4,0.5833,0.6,3414,3709,0.2,0,0,0,0,0,0,0,0,0,0,0
28,1,3,4,2,2,5,3,1.8,1.8,46,3,37,320,58,26,0.8966,0.9231,2286,2543,12,44,2.25,2.8409,0.6667,0.6364,3138,3313,0.2,0,0,0,0,0,0,0.6,1,0.9,0.9,0.9333
26,1,2,6,2,2,5,2,3.48,1.12,59,19,25,324,58,27,0.8621,1,2150,1761,12,43,2.5,3.7907,0.5,0.6977,3262,2528,0.1,0,0.1,0,0,0.0333,0,0.8,0.9,0.8,0.8,0.8333
29,1,3,6,2,2,5,2,2.92,2.2,71,8,45,305,58,24,0.7759,0.875,2597,2431,12,46,2.5,4.7609,0.5833,0.6957,3247,3446,0.2,0,0,0,0,0,0.4,0.8,0.7,0.8,0.9,0.8
34,1,4,4,2,2,5,4,2.32,1.12,48,17,26,313,58,46,0.931,0.9783,2551,2075,12,24,2.5833,4.4583,0.5833,0.75,4179,4150,0,0,0.2,0,0,0.0667,0,0.4,0.4,0.3,0.3,0.3333
30,1,2,4,2,2,5,3,1.92,1,26,20,24,330,58,11,1,0.8182,2625,4426,12,59,2.5833,3.0508,0.6667,0.661,5295,4462,0,0,0.1,0,0.1,0.0667,1,1,1,1,0.9,0.9667
28,2,4,4,2,3,5,1,2.08,1.76,45,16,25,343,58,20,0.931,1,2181,1913,12,50,2.6667,5.54,0.75,0.68,3356,3143,0.1,0,0,0.1,0,0.0333,0.3,0.8,1,0.9,1,0.9667
57,1,4,7,2,2,5,7,3.12,3.04,37,4,38,354,58,21,1,0.8571,2142,2302,12,49,3.25,5.0408,0.75,0.6939,4111,3254,0.1,0.1,0,0,0,0,0.1,0.8,1,1,1,1
32,1,4,6,2,2,2,4,1.96,1.28,43,25,49,275,58,57,0.9483,0.807,2649,2733,12,13,3.8333,2.6154,0.6667,0.6923,5133,2624,0.1,0,0,0.1,0,0.0333,0.3,0,0,0,0,0
32,2,4,3,2,1,6,2,2.96,1,37,25,22,262,57,60,0.807,0.9,1999,2182,13,10,2,4.3,0.3077,0.9,2768,3388,0.3,0,0,0,0,0,0,0,0,0,0,0
24,1,4,5,2,2,3,4,2.04,1.24,29,25,23,347,57,18,0.9474,0.9444,2414,2457,13,52,2.1538,3.0192,0.5385,0.7115,3736,3007,0.1,0,0.1,0,0.1,0.0667,0.2,1,1,1,1,1
30,2,3,2,2,2,5,4,3.4,1.8,68,6,46,329,57,24,0.8246,0.7917,2419,2840,13,46,2.3846,3.3696,0.6154,0.7391,3374,3423,0,0.1,0,0.1,0.1,0.0667,0.1,0.6,1,1,0.9,0.9667
34,1,4,6,2,2,5,2,4.16,1.08,26,18,23,318,57,13,0.7719,1,3048,2338,13,57,2.4615,4.3509,0.4615,0.7544,4520,3530,0,0.1,0.1,0.1,0,0.0667,0.8,1,1,1,0.9,0.9667
31,1,3,6,2,2,5,3,1.6,1.48,46,15,28,354,57,19,0.9649,1,2061,1800,13,51,2.7692,4.7451,0.7692,0.7255,3493,2837,0.1,0.1,0,0,0.1,0.0333,0.5,1,1,0.8,0.8,0.8667
33,2,3,4,2,2,5,5,2.24,1.48,29,25,31,351,57,18,0.9298,1,2567,1874,13,52,2.7692,4.8462,0.6923,0.7115,4304,3560,0,0,0,0.2,0.1,0.1,0.2,1,1,1,1,1
24,1,4,2,2,2,5,1,2.64,1.92,38,11,31,355,57,22,0.9649,0.9545,2299,2641,13,48,3.2308,3.6875,0.6154,0.7708,4265,3172,0.1,0.1,0.1,0,0,0.0333,0.2,0.8,0.9,0.9,1,0.9333
28,2,3,4,2,2,3,2,2.36,1.16,56,15,42,191,56,19,0.5179,0.8947,2550,2352,14,51,2,2.2549,0.0714,0.5098,2290,2403,0.2,0,0,0.2,0,0.0667,0.8,0.8,0.7,0.9,0.9,0.8333
31,2,4,6,2,2,5,1,2.88,2.88,49,16,50,269,56,54,0.9464,0.8704,2341,2110,14,16,2.2143,2.25,0.5714,0.5625,4078,2199,0.1,0.2,0.1,0,0,0.0333,0.4,0.1,0.1,0,0,0.0333
28,1,4,4,2,2,5,5,2.72,1.44,38,21,29,314,56,19,0.75,0.9474,2525,2351,14,51,2.2143,4.1765,0.5,0.7255,2414,3225,0.1,0,0.1,0.1,0.1,0.1,0.4,0.9,0.9,1,0.9,0.9333
32,2,4,6,2,2,5,5,2.28,1.24,20,25,36,272,56,43,0.9107,0.8605,2172,2147,14,27,2.3571,3.9259,0.3571,0.6296,3619,3124,0.2,0.1,0.1,0,0,0.0333,0.2,0.3,0.4,0.4,0.4,0.4
34,2,4,4,2,2,5,2,3.12,1.24,51,18,54,287,56,26,0.8929,0.8462,2123,2035,14,44,2.5,3.2045,0.2857,0.7045,2707,2247,0,0.1,0,0.3,0,0.1,0.7,0.6,0.7,0.6,0.8,0.7
21,2,2,4,2,1,5,5,3.04,1,36,18,30,292,56,14,0.75,0.9286,2632,2106,14,56,2.5714,3.1071,0.5714,0.625,3479,2470,0.3,0,0,0,0.1,0.0333,0.7,1,1,0.9,1,0.9667
39,2,4,1,2,2,5,5,3.84,4.04,38,22,33,229,56,56,0.9821,0.5179,2449,2807,14,14,3.0714,2,0.6429,0.2857,4673,2553,0.2,0.1,0,0,0.1,0.0333,0.2,0,0,0,0.2,0.0667
31,1,2,2,2,2,5,3,2.76,1.6,53,22,33,293,55,21,0.6909,1,3164,2199,15,49,2.2,3.7551,0.4667,0.7143,4329,3659,0.4,0,0.1,0,0,0.0333,0.1,1,1,1,0.8,0.9333
32,1,2,4,2,2,5,5,3.2,1.64,24,26,61,334,55,20,0.9455,0.9,1915,2428,15,50,2.4,4.44,0.6667,0.68,3197,3269,0.1,0.2,0.1,0,0.1,0.0667,0.5,0.8,1,0.9,0.8,0.9
33,1,4,6,2,2,5,3,2.68,1.6,57,11,37,334,55,20,0.9455,0.9,2497,2144,15,50,2.4667,5.86,0.6,0.7,4384,3253,0.4,0,0,0.1,0,0.0333,0.2,1,0.8,1,1,0.9333
26,3,3,5,2,2,5,2,2.96,2.96,72,12,68,350,55,25,0.9636,0.92,1935,2327,15,45,2.6667,3.8,0.6667,0.6667,3338,3455,0,0,0.2,0.2,0.1,0.1667,0,0.5,1,1,1,1
24,1,3,5,2,2,5,4,2.4,2,38,13,29,354,55,26,0.9273,0.9615,2437,2783,15,44,2.8,4.8182,0.7333,0.7273,4406,3401,0,0,0.1,0.2,0.2,0.1667,0,0.6,0.8,1,1,0.9333
30,1,4,5,2,2,5,5,1.56,1.28,38,15,23,321,55,37,0.8909,0.9459,2007,2096,15,33,3.1333,5.3939,0.5333,0.7273,2827,3260,0.1,0,0.1,0.1,0.2,0.1333,0.2,0.2,0.3,0.8,0.8,0.6333
28,2,4,8,2,1,5,3,4.88,5,29,15,30,304,55,49,1,0.9184,1879,2399,15,21,3.7333,2.8095,0.6,0.7143,4011,2624,0.2,0.1,0,0.1,0.1,0.0667,0.3,0.2,0.1,0.3,0.2,0.2
31,1,4,6,2,2,5,6,2.28,1.4,22,18,35,357,55,27,0.9636,0.9259,2000,1933,15,43,4,4,0.7333,0.7442,3794,3331,0,0.1,0.1,0.1,0.2,0.1333,0.2,0.6,0.7,0.9,0.9,0.8333
30,1,4,4,2,2,5,5,2.08,1.08,42,15,23,358,54,17,0.9815,1,2118,1950,16,53,2.5,3.9811,0.6875,0.6981,3911,3470,0,0,0.2,0.2,0.2,0.2,0.5,0.9,0.9,1,1,0.9667
23,2,3,7,2,2,2,1,2.84,2.28,48,10,45,363,54,19,0.9815,0.9474,1921,1807,16,51,4.1875,5.5882,0.625,0.7451,3956,3468,0,0,0.1,0.1,0.4,0.2,0.3,0.9,1,1,0.9,0.9667
27,2,5,6,2,1,5,3,2.4,1.48,33,18,30,326,53,17,0.9057,1,1949,1867,17,53,2.1176,3.717,0.4118,0.6604,3975,3430,0,0,0.1,0.4,0.2,0.2333,0.4,0.9,1,1,1,1
33,1,4,6,2,2,5,4,2.32,2.16,28,28,51,288,53,20,0.6226,1,4091,2131,17,50,2.2353,3.4,0.5294,0.68,4815,2958,0.5,0,0,0.1,0.1,0.0667,0.5,0.8,0.8,0.9,1,0.9
29,1,3,4,2,2,5,3,2.84,2.08,41,8,45,329,53,15,0.7925,0.8667,1912,1762,17,55,2.1765,4.9273,0.5294,0.7273,2248,2245,0.1,0.1,0.3,0.2,0,0.1667,0.5,1,1,1,1,1
28,1,3,4,2,2,5,5,3.36,2.08,30,29,45,260,53,56,0.8679,0.875,2938,2392,17,14,2.4706,2.2857,0.5294,0.6429,3486,2675,0.1,0,0.2,0.2,0.2,0.2,0.1,0,0.1,0.2,0,0.1
25,1,2,6,2,2,5,5,3.04,1.48,68,12,38,317,53,27,0.9245,0.8889,2196,2180,17,43,2.5294,4.5814,0.6471,0.6512,3243,4122,0.3,0.1,0.1,0,0.2,0.1,0.2,0.8,0.8,0.6,0.9,0.7667
26,1,3,5,2,1,6,3,2.36,1.84,29,30,39,318,53,25,0.9245,0.88,2285,2003,17,45,2.5294,3.1333,0.6471,0.6667,3443,2436,0.2,0.2,0,0.1,0.2,0.1,0.6,0.7,0.6,0.9,0.7,0.7333
33,1,3,4,2,2,5,4,2.44,1.12,24,16,23,346,53,17,0.9811,1,2474,2092,17,53,3.2941,5.6226,0.5882,0.6981,4605,3749,0.1,0,0.1,0.2,0.3,0.2,0.4,0.9,1,1,1,1
31,1,4,2,2,2,5,2,3.8,1.36,26,17,53,274,52,51,0.8654,0.902,1733,1788,18,19,2.0556,3,0.2778,0.7368,1870,1809,0.1,0.2,0.1,0.3,0.1,0.1667,0.3,0.2,0,0.1,0.3,0.1333
33,1,2,2,2,2,5,2,2.44,2.24,49,27,58,316,52,39,0.9038,0.8974,2818,2823,18,31,2.3889,4.3871,0.4444,0.7419,3302,3544,0,0,0,0.4,0.4,0.2667,0.1,0.1,0.5,0.6,0.8,0.6333
34,1,4,6,2,2,5,5,2.52,2,43,22,43,349,52,26,0.9615,1,2307,1956,18,44,2.5556,4.4091,0.6667,0.6818,3927,3065,0.1,0.1,0.4,0.1,0.1,0.2,0.2,0.7,0.7,0.9,0.9,0.8333
30,1,3,7,2,2,5,3,1.64,1,39,13,21,346,52,25,0.9423,0.96,2199,2136,18,45,2.7222,3.8444,0.6111,0.7111,3628,3099,0,0.2,0.1,0.3,0.2,0.2,0.2,0.7,0.9,0.8,0.9,0.8667
28,1,3,2,2,2,5,3,2.16,1.96,38,21,44,229,51,48,0.8824,0.6875,2089,1958,19,22,2.1579,2.1364,0.3684,0.4091,3171,2146,0.1,0.3,0.2,0.2,0.1,0.1667,0.1,0.2,0.2,0.3,0.4,0.3
21,2,3,5,2,2,5,2,2.36,1.72,51,17,47,304,51,35,0.9216,0.8571,1882,1954,19,35,2.3158,2.4,0.5789,0.5429,2561,2287,0,0,0.2,0.3,0.4,0.3,0.1,0,0.6,1,0.8,0.8
27,2,2,8,2,3,7,1,2.28,1.72,26,26,31,301,51,28,0.8824,0.75,2528,2894,19,42,2.3158,2.4762,0.6316,0.5714,4398,3907,0,0.2,0.3,0.2,0.2,0.2333,0.2,0.9,0.8,0.5,0.8,0.7
26,2,4,6,2,2,5,3,2.92,1.92,32,11,45,356,51,27,0.902,0.963,2604,2569,19,43,3.8421,4.6977,0.7368,0.6744,4562,3642,0,0,0,0.5,0.4,0.3,0,0.3,1,1,1,1
34,1,3,6,2,2,5,4,2.24,3.32,44,11,43,353,50,17,0.86,1,2394,1814,20,53,2.25,4.3019,0.65,0.717,3425,2786,0.1,0.3,0.1,0.2,0.3,0.2,0.4,0.9,1,1,1,1
29,1,2,4,2,2,5,3,2.36,2,20,29,23,259,50,35,0.8,0.8857,2015,2042,20,35,2.4,2.7143,0.3,0.6286,2210,2184,0.5,0.2,0.2,0.1,0,0.1,0.7,0.4,0.6,0.4,0.4,0.4667
27,2,3,2,2,2,5,2,4,4.16,56,13,59,323,50,28,1,0.8214,2101,2130,20,42,2.45,4.9524,0.65,0.6905,2640,2794,0.3,0.2,0,0.3,0.2,0.1667,0.6,0.7,0.6,0.6,0.7,0.6333
27,1,3,7,2,2,5,3,1.04,1.04,62,15,22,313,50,58,0.98,0.9138,1962,2143,20,12,3,3.3333,0.7,0.6667,3494,3049,0.1,0,0.3,0.3,0.3,0.3,0,0,0,0,0.2,0.0667
23,1,4,7,2,2,5,4,1.88,2.16,22,20,26,319,50,47,0.98,0.9362,1801,1865,20,23,3.6,3.913,0.65,0.6957,3312,2858,0.3,0.3,0.2,0,0.2,0.1333,0.4,0.4,0.1,0.3,0.1,0.1667
24,1,3,4,2,2,5,6,1.44,1,21,19,31,308,49,22,0.8367,0.7273,2888,2966,21,48,2.4286,2.7917,0.5714,0.625,4202,3671,0.1,0.1,0.2,0.3,0.4,0.3,0.3,0.8,0.9,0.8,1,0.9
23,1,2,6,2,2,5,4,3.04,3.2,34,20,55,246,49,47,0.6939,0.7447,1966,2135,21,23,2.5714,2.3478,0.619,0.4348,1857,2111,0.3,0.3,0.1,0.1,0.3,0.1667,0.4,0.3,0.3,0.1,0.2,0.2
31,1,3,6,2,2,5,3,1.04,2.04,59,13,42,300,49,57,0.9388,0.9474,3406,2287,21,13,6.8095,2.7692,0.8571,0.5385,4495,3653,0.3,0.3,0.2,0.3,0,0.1667,0.3,0,0,0,0,0
34,1,4,4,2,2,5,4,3.96,1.88,29,15,74,194,48,50,0.6875,0.56,2804,2189,22,20,2.2273,2.1,0.4545,0.35,2765,2440,0.6,0.3,0.1,0.1,0.1,0.1,0.4,0,0.2,0.2,0.2,0.2
33,2,2,3,2,2,5,3,2.4,2.56,21,16,41,277,48,49,0.875,0.6531,2652,2922,22,21,2.3182,2.9048,0.6364,0.5238,4102,3048,0,0,0.1,0.5,0.6,0.4,0,0,0.4,0.2,0.5,0.3667
32,2,4,6,2,2,5,4,2.36,2.04,37,16,42,333,48,23,0.9167,0.8261,2214,2457,22,47,2.2727,4.6383,0.5909,0.6809,3875,3051,0.1,0.3,0.2,0.3,0.3,0.2667,0,0.9,1,1,0.8,0.9333
32,1,3,8,2,2,5,4,2.44,2.16,45,15,54,221,48,54,0.8333,0.5185,2472,1991,22,16,2.8182,2.375,0.5909,0.4375,3460,1936,0.4,0.1,0.2,0.4,0.1,0.2333,0.3,0.2,0.1,0,0,0.0333
33,1,5,6,2,2,5,5,1.84,1.44,30,17,28,358,48,39,1,0.9487,1980,1942,22,31,3.3182,3.2903,0.6818,0.6774,3555,2227,0,0,0.2,0.3,0.7,0.4,0.1,0.1,0.5,0.6,0.8,0.6333
34,2,4,5,2,2,5,4,2.76,2,45,15,47,364,48,17,0.9792,1,2185,1867,22,53,3.2727,5.3019,0.6818,0.6981,3086,2781,0,0.1,0.4,0.3,0.4,0.3667,0.4,1,1,1,0.9,0.9667
26,2,2,2,2,2,5,4,2.68,2.32,48,15,45,240,47,49,0.6596,0.7551,2587,2316,23,21,2.1739,2.381,0.3913,0.5714,3850,3788,0.1,0,0.2,0.5,0.5,0.4,0.1,0.1,0,0.5,0.4,0.3
31,2,3,2,2,2,5,2,4.12,3.68,51,18,63,272,47,39,0.9149,0.7949,2163,2708,23,31,2.1739,2.6774,0.5652,0.5484,3357,3281,0.5,0,0.3,0.3,0.2,0.2667,0.6,0.3,0.3,0.4,0.5,0.4
31,2,4,6,2,2,5,5,1.8,1.04,29,21,23,188,46,50,0.413,0.68,2363,2463,24,20,2.0417,2.3,0.2917,0.55,1833,2312,0.4,0.3,0.2,0.2,0.3,0.2333,0.1,0.3,0.1,0.1,0.4,0.2
24,1,4,5,2,2,3,4,2.4,2.2,29,18,26,350,46,30,0.9783,0.9333,2253,2293,24,40,2.375,4.675,0.625,0.725,4604,3268,0.2,0.1,0.3,0.3,0.5,0.3667,0.4,0.6,0.6,0.5,0.9,0.6667
29,1,3,3,2,2,5,2,3.32,2.4,68,19,51,335,46,12,0.913,1,2314,2171,24,58,2.5,3.9483,0.5417,0.7069,4212,2981,0.3,0.3,0.2,0.4,0.2,0.2667,0.9,1,1,1,0.9,0.9667
29,2,2,2,2,2,5,2,2.64,1.68,40,19,34,144,46,49,0.3913,0.5306,1836,2045,24,21,2.625,2.0476,0.25,0.3333,1770,2277,0.5,0.3,0.2,0.3,0.1,0.2,0.2,0.2,0.2,0.3,0.2,0.2333
30,2,3,6,2,2,5,5,1.64,1.8,30,11,34,323,46,59,0.9783,0.9831,2250,2317,24,11,2.8333,4.7273,0.7083,0.7273,4364,3601,0.1,0,0.3,0.5,0.5,0.4333,0.1,0,0,0,0,0
30,2,4,7,2,2,5,3,1.8,1.56,53,7,38,380,46,25,0.9783,0.92,2316,2054,24,45,3.2917,4.0444,0.7083,0.7333,5111,3282,0,0.1,0.2,0.5,0.6,0.4333,0,0.5,1,1,1,1
34,1,4,6,2,2,5,5,3.16,1.28,25,25,38,360,46,20,1,0.95,2133,1923,24,50,3.2917,4.26,0.625,0.72,4970,2893,0.2,0.3,0.3,0.4,0.2,0.3,0.2,0.9,0.9,1,1,0.9667
31,1,3,4,2,2,5,3,2.04,1.6,46,11,38,333,46,47,0.9783,0.8936,2326,2436,24,23,3.5,4.7391,0.75,0.7391,4378,3636,0.3,0.2,0.2,0.6,0.1,0.3,0,0.1,0.5,0.3,0.4,0.4
32,1,3,2,2,2,5,5,2.92,1.16,33,16,41,370,46,28,0.9348,1,3085,1882,24,42,3.5,4.5714,0.6667,0.7143,4573,3300,0.1,0,0.6,0.2,0.5,0.4333,0,0.2,1,1,1,1
33,1,3,4,2,2,5,2,3.84,2.8,53,28,70,327,46,26,0.9783,0.8077,2049,2866,24,44,3.5833,3.1364,0.7083,0.6364,3638,3456,0.2,0.4,0.4,0.2,0.2,0.2667,0.5,0.7,0.8,0.8,0.6,0.7333
27,2,3,5,2,2,3,3,2.12,1.04,40,18,33,315,45,49,0.9111,0.898,1996,2138,25,21,2.24,3,0.6,0.6667,2849,2757,0.2,0.1,0.4,0.4,0.4,0.4,0,0,0.4,0.3,0.4,0.3667
30,2,4,6,2,2,6,3,1.92,1.72,30,14,32,346,45,19,0.9778,0.7895,2271,2202,25,51,2.52,4.9216,0.6,0.6863,4617,3599,0,0.2,0.6,0.3,0.4,0.4333,0.1,1,1,1,1,1
